outcome,event_share,consequence_share,gini,n_numeric,total_reported
Injuries,0.06790123456790123,0.0,0.7662861449994225,162,2031.0
Injuries,0.07407407407407407,0.0,0.7662861449994225,162,2031.0
Injuries,0.08024691358024691,0.0,0.7662861449994225,162,2031.0
Injuries,0.08641975308641975,0.0,0.7662861449994225,162,2031.0
Injuries,0.09259259259259259,0.0,0.7662861449994225,162,2031.0
Injuries,0.09876543209876543,0.0,0.7662861449994225,162,2031.0
Injuries,0.10493827160493827,0.0,0.7662861449994225,162,2031.0
Injuries,0.1111111111111111,0.0,0.7662861449994225,162,2031.0
Injuries,0.11728395061728394,0.0,0.7662861449994225,162,2031.0
Injuries,0.12345679012345678,0.0,0.7662861449994225,162,2031.0
Injuries,0.12962962962962962,0.0,0.7662861449994225,162,2031.0
Injuries,0.13580246913580246,0.0,0.7662861449994225,162,2031.0
Injuries,0.1419753086419753,0.0,0.7662861449994225,162,2031.0
Injuries,0.14814814814814814,0.0,0.7662861449994225,162,2031.0
Injuries,0.15432098765432098,0.0,0.7662861449994225,162,2031.0
Injuries,0.16049382716049382,0.0,0.7662861449994225,162,2031.0
Injuries,0.16666666666666666,0.0,0.7662861449994225,162,2031.0
Injuries,0.1728395061728395,0.0,0.7662861449994225,162,2031.0
Injuries,0.17901234567901234,0.0,0.7662861449994225,162,2031.0
Injuries,0.18518518518518517,0.0,0.7662861449994225,162,2031.0
Injuries,0.19135802469135801,0.0,0.7662861449994225,162,2031.0
Injuries,0.19753086419753085,0.0,0.7662861449994225,162,2031.0
Injuries,0.2037037037037037,0.0,0.7662861449994225,162,2031.0
Injuries,0.20987654320987653,0.0,0.7662861449994225,162,2031.0
Injuries,0.21604938271604937,0.0,0.7662861449994225,162,2031.0
Injuries,0.2222222222222222,0.0,0.7662861449994225,162,2031.0
Injuries,0.22839506172839505,0.0,0.7662861449994225,162,2031.0
Injuries,0.2345679012345679,0.0,0.7662861449994225,162,2031.0
Injuries,0.24074074074074073,0.0,0.7662861449994225,162,2031.0
Injuries,0.24691358024691357,0.0,0.7662861449994225,162,2031.0
Injuries,0.25308641975308643,0.0,0.7662861449994225,162,2031.0
Injuries,0.25925925925925924,0.0,0.7662861449994225,162,2031.0
Injuries,0.2654320987654321,0.0,0.7662861449994225,162,2031.0
Injuries,0.2716049382716049,0.0,0.7662861449994225,162,2031.0
Injuries,0.2777777777777778,0.0,0.7662861449994225,162,2031.0
Injuries,0.2839506172839506,0.0,0.7662861449994225,162,2031.0
Injuries,0.29012345679012347,0.0,0.7662861449994225,162,2031.0
Injuries,0.2962962962962963,0.0,0.7662861449994225,162,2031.0
Injuries,0.30246913580246915,0.0,0.7662861449994225,162,2031.0
Injuries,0.30864197530864196,0.0,0.7662861449994225,162,2031.0
Injuries,0.3148148148148148,0.0,0.7662861449994225,162,2031.0
Injuries,0.32098765432098764,0.0,0.7662861449994225,162,2031.0
Injuries,0.3271604938271605,0.0,0.7662861449994225,162,2031.0
Injuries,0.3333333333333333,0.0,0.7662861449994225,162,2031.0
Injuries,0.3395061728395062,0.0,0.7662861449994225,162,2031.0
Injuries,0.345679012345679,0.0,0.7662861449994225,162,2031.0
Injuries,0.35185185185185186,0.0,0.7662861449994225,162,2031.0
Injuries,0.35802469135802467,0.0,0.7662861449994225,162,2031.0
Injuries,0.36419753086419754,0.0,0.7662861449994225,162,2031.0
Injuries,0.37037037037037035,0.0,0.7662861449994225,162,2031.0
Injuries,0.3765432098765432,0.0,0.7662861449994225,162,2031.0
Injuries,0.38271604938271603,0.0,0.7662861449994225,162,2031.0
Injuries,0.3888888888888889,0.0004923682914820286,0.7662861449994225,162,2031.0
Injuries,0.3950617283950617,0.0009847365829640572,0.7662861449994225,162,2031.0
Injuries,0.4012345679012346,0.0014771048744460858,0.7662861449994225,162,2031.0
Injuries,0.4074074074074074,0.0019694731659281144,0.7662861449994225,162,2031.0
Injuries,0.41358024691358025,0.002461841457410143,0.7662861449994225,162,2031.0
Injuries,0.41975308641975306,0.0029542097488921715,0.7662861449994225,162,2031.0
Injuries,0.42592592592592593,0.0034465780403741997,0.7662861449994225,162,2031.0
Injuries,0.43209876543209874,0.003938946331856229,0.7662861449994225,162,2031.0
Injuries,0.4382716049382716,0.004431314623338257,0.7662861449994225,162,2031.0
Injuries,0.4444444444444444,0.004923682914820286,0.7662861449994225,162,2031.0
Injuries,0.4506172839506173,0.0054160512063023145,0.7662861449994225,162,2031.0
Injuries,0.4567901234567901,0.005908419497784343,0.7662861449994225,162,2031.0
Injuries,0.46296296296296297,0.006893156080748399,0.7662861449994225,162,2031.0
Injuries,0.4691358024691358,0.007877892663712457,0.7662861449994225,162,2031.0
Injuries,0.47530864197530864,0.008862629246676515,0.7662861449994225,162,2031.0
Injuries,0.48148148148148145,0.009847365829640572,0.7662861449994225,162,2031.0
Injuries,0.4876543209876543,0.010832102412604629,0.7662861449994225,162,2031.0
Injuries,0.49382716049382713,0.011816838995568686,0.7662861449994225,162,2031.0
Injuries,0.5,0.012801575578532743,0.7662861449994225,162,2031.0
Injuries,0.5061728395061729,0.013786312161496799,0.7662861449994225,162,2031.0
Injuries,0.5123456790123457,0.014771048744460856,0.7662861449994225,162,2031.0
Injuries,0.5185185185185185,0.015755785327424915,0.7662861449994225,162,2031.0
Injuries,0.5246913580246914,0.01674052191038897,0.7662861449994225,162,2031.0
Injuries,0.5308641975308642,0.01772525849335303,0.7662861449994225,162,2031.0
Injuries,0.5370370370370371,0.019202363367799114,0.7662861449994225,162,2031.0
Injuries,0.5432098765432098,0.0206794682422452,0.7662861449994225,162,2031.0
Injuries,0.5493827160493827,0.022156573116691284,0.7662861449994225,162,2031.0
Injuries,0.5555555555555556,0.023633677991137372,0.7662861449994225,162,2031.0
Injuries,0.5617283950617284,0.025110782865583457,0.7662861449994225,162,2031.0
Injuries,0.5679012345679012,0.026587887740029542,0.7662861449994225,162,2031.0
Injuries,0.5740740740740741,0.028064992614475627,0.7662861449994225,162,2031.0
Injuries,0.5802469135802469,0.029542097488921712,0.7662861449994225,162,2031.0
Injuries,0.5864197530864198,0.0310192023633678,0.7662861449994225,162,2031.0
Injuries,0.5925925925925926,0.03249630723781388,0.7662861449994225,162,2031.0
Injuries,0.5987654320987654,0.034465780403742,0.7662861449994225,162,2031.0
Injuries,0.6049382716049383,0.03643525356967011,0.7662861449994225,162,2031.0
Injuries,0.6111111111111112,0.03840472673559823,0.7662861449994225,162,2031.0
Injuries,0.6172839506172839,0.04037419990152634,0.7662861449994225,162,2031.0
Injuries,0.6234567901234568,0.04234367306745446,0.7662861449994225,162,2031.0
Injuries,0.6296296296296297,0.04431314623338257,0.7662861449994225,162,2031.0
Injuries,0.6358024691358025,0.04677498769079271,0.7662861449994225,162,2031.0
Injuries,0.6419753086419753,0.049236829148202856,0.7662861449994225,162,2031.0
Injuries,0.6481481481481481,0.051698670605613,0.7662861449994225,162,2031.0
Injuries,0.654320987654321,0.05465288035450517,0.7662861449994225,162,2031.0
Injuries,0.6604938271604939,0.05760709010339734,0.7662861449994225,162,2031.0
Injuries,0.6666666666666666,0.060561299852289516,0.7662861449994225,162,2031.0
Injuries,0.6728395061728395,0.06400787789266371,0.7662861449994225,162,2031.0
Injuries,0.6790123456790124,0.06745445593303791,0.7662861449994225,162,2031.0
Injuries,0.6851851851851852,0.07139340226489414,0.7662861449994225,162,2031.0
Injuries,0.691358024691358,0.07533234859675036,0.7662861449994225,162,2031.0
Injuries,0.6975308641975309,0.0792712949286066,0.7662861449994225,162,2031.0
Injuries,0.7037037037037037,0.08370260955194485,0.7662861449994225,162,2031.0
Injuries,0.7098765432098766,0.08862629246676514,0.7662861449994225,162,2031.0
Injuries,0.7160493827160493,0.09404234367306745,0.7662861449994225,162,2031.0
Injuries,0.7222222222222222,0.0999507631708518,0.7662861449994225,162,2031.0
Injuries,0.7283950617283951,0.10585918266863614,0.7662861449994225,162,2031.0
Injuries,0.7345679012345679,0.11225997045790251,0.7662861449994225,162,2031.0
Injuries,0.7407407407407407,0.11866075824716889,0.7662861449994225,162,2031.0
Injuries,0.7469135802469136,0.12506154603643527,0.7662861449994225,162,2031.0
Injuries,0.7530864197530864,0.13146233382570163,0.7662861449994225,162,2031.0
Injuries,0.7592592592592593,0.137863121614968,0.7662861449994225,162,2031.0
Injuries,0.7654320987654321,0.1447562776957164,0.7662861449994225,162,2031.0
Injuries,0.7716049382716049,0.1516494337764648,0.7662861449994225,162,2031.0
Injuries,0.7777777777777778,0.15903495814869523,0.7662861449994225,162,2031.0
Injuries,0.7839506172839507,0.16642048252092564,0.7662861449994225,162,2031.0
Injuries,0.7901234567901234,0.17429837518463812,0.7662861449994225,162,2031.0
Injuries,0.7962962962962963,0.18365337272279667,0.7662861449994225,162,2031.0
