event_id,stratum_id,date,case,case_label,tmax_anomaly_c,heatwave_indicator
HRF-0025,HRF-0025,2008-01-04,0,Matched control day,-3.5310000000000006,0.0
HRF-0025,HRF-0025,2008-01-11,0,Matched control day,-1.971,0.0
HRF-0025,HRF-0025,2008-01-18,0,Matched control day,-8.821000000000002,0.0
HRF-0026,HRF-0026,2008-04-13,1,Event day,-6.2010000000000005,0.0
HRF-0026,HRF-0026,2008-04-06,0,Matched control day,-11.251,0.0
HRF-0026,HRF-0026,2008-04-20,0,Matched control day,-2.2910000000000004,0.0
HRF-0026,HRF-0026,2008-04-27,0,Matched control day,0.0889999999999986,0.0
HRF-0028,HRF-0028,2008-10-28,1,Event day,-6.700000000000003,0.0
HRF-0028,HRF-0028,2008-10-07,0,Matched control day,-1.490000000000002,0.0
HRF-0028,HRF-0028,2008-10-14,0,Matched control day,-1.7899999999999991,0.0
HRF-0028,HRF-0028,2008-10-21,0,Matched control day,-2.950000000000003,0.0
HRF-0031,HRF-0031,2009-05-01,1,Event day,-3.360999999999997,0.0
HRF-0031,HRF-0031,2009-05-08,0,Matched control day,-4.410999999999994,0.0
HRF-0031,HRF-0031,2009-05-15,0,Matched control day,-3.150999999999996,0.0
HRF-0031,HRF-0031,2009-05-22,0,Matched control day,-1.9109999999999945,0.0
HRF-0031,HRF-0031,2009-05-29,0,Matched control day,0.1190000000000068,0.0
HRF-0029,HRF-0029,2009-02-09,1,Event day,2.5600000000000005,0.0
HRF-0029,HRF-0029,2009-02-02,0,Matched control day,-4.97,0.0
HRF-0029,HRF-0029,2009-02-16,0,Matched control day,-9.22,0.0
HRF-0029,HRF-0029,2009-02-23,0,Matched control day,-9.18,0.0
HRF-0030,HRF-0030,2009-03-13,1,Event day,-2.4509999999999934,0.0
HRF-0030,HRF-0030,2009-03-06,0,Matched control day,-2.7309999999999945,0.0
HRF-0030,HRF-0030,2009-03-20,0,Matched control day,-1.2509999999999977,0.0
HRF-0030,HRF-0030,2009-03-27,0,Matched control day,-4.640999999999991,0.0
HRF-0108,HRF-0108,2019-03-28,1,Event day,-4.050999999999995,0.0
HRF-0108,HRF-0108,2019-03-07,0,Matched control day,-8.010999999999996,0.0
HRF-0108,HRF-0108,2019-03-14,0,Matched control day,-3.680999999999997,0.0
HRF-0108,HRF-0108,2019-03-21,0,Matched control day,-3.530999999999992,0.0
HRF-0145,HRF-0145,2024-02-29,1,Event day,-3.5130000000000017,0.0
HRF-0145,HRF-0145,2024-02-01,0,Matched control day,-8.353000000000002,0.0
HRF-0145,HRF-0145,2024-02-08,0,Matched control day,-8.993000000000002,0.0
HRF-0145,HRF-0145,2024-02-15,0,Matched control day,-4.773000000000003,0.0
HRF-0145,HRF-0145,2024-02-22,0,Matched control day,-1.5930000000000035,0.0
HRF-0032,HRF-0032,2009-07-03,1,Event day,-2.171000000000003,0.0
HRF-0032,HRF-0032,2009-07-10,0,Matched control day,-5.081000000000003,0.0
HRF-0032,HRF-0032,2009-07-17,0,Matched control day,-6.661000000000001,0.0
HRF-0032,HRF-0032,2009-07-24,0,Matched control day,-7.451000000000004,0.0
HRF-0032,HRF-0032,2009-07-31,0,Matched control day,-5.521000000000001,0.0
HRF-0033,HRF-0033,2009-08-15,1,Event day,-5.782999999999998,0.0
HRF-0033,HRF-0033,2009-08-01,0,Matched control day,-3.012999999999998,0.0
HRF-0033,HRF-0033,2009-08-08,0,Matched control day,-6.682999999999996,0.0
HRF-0033,HRF-0033,2009-08-22,0,Matched control day,-3.392999999999997,0.0
HRF-0033,HRF-0033,2009-08-29,0,Matched control day,-2.0929999999999964,0.0
HRF-0035,HRF-0035,2010-07-06,1,Event day,-2.6330000000000027,0.0
HRF-0035,HRF-0035,2010-07-13,0,Matched control day,-3.353000000000001,0.0
HRF-0035,HRF-0035,2010-07-20,0,Matched control day,-2.103000000000001,0.0
HRF-0035,HRF-0035,2010-07-27,0,Matched control day,-2.6330000000000027,0.0
HRF-0043,HRF-0043,2012-01-18,1,Event day,-3.940000000000001,0.0
HRF-0043,HRF-0043,2012-01-04,0,Matched control day,-3.5799999999999983,0.0
HRF-0043,HRF-0043,2012-01-11,0,Matched control day,0.9000000000000021,0.0
HRF-0043,HRF-0043,2012-01-25,0,Matched control day,-6.620000000000001,0.0
HRF-0046,HRF-0046,2012-04-28,1,Event day,-1.0110000000000028,0.0
HRF-0046,HRF-0046,2012-04-07,0,Matched control day,-4.091000000000001,0.0
HRF-0046,HRF-0046,2012-04-14,0,Matched control day,-7.621000000000002,0.0
HRF-0046,HRF-0046,2012-04-21,0,Matched control day,-6.051000000000002,0.0
HRF-0055,HRF-0055,2013-04-22,1,Event day,-4.4510000000000005,0.0
HRF-0055,HRF-0055,2013-04-01,0,Matched control day,-6.021000000000001,0.0
HRF-0055,HRF-0055,2013-04-08,0,Matched control day,-8.911000000000001,0.0
HRF-0055,HRF-0055,2013-04-15,0,Matched control day,-1.5110000000000028,0.0
HRF-0055,HRF-0055,2013-04-29,0,Matched control day,-5.621000000000002,0.0
HRF-0072,HRF-0072,2015-10-01,1,Event day,-0.6210000000000022,0.0
HRF-0072,HRF-0072,2015-10-08,0,Matched control day,0.1189999999999997,1.0
HRF-0072,HRF-0072,2015-10-15,0,Matched control day,-1.301000000000002,0.0
HRF-0072,HRF-0072,2015-10-22,0,Matched control day,-1.1310000000000002,0.0
HRF-0072,HRF-0072,2015-10-29,0,Matched control day,-3.110999999999997,0.0
HRF-0084,HRF-0084,2016-12-01,1,Event day,-0.2729999999999997,0.0
HRF-0084,HRF-0084,2016-12-08,0,Matched control day,-1.472999999999999,0.0
HRF-0084,HRF-0084,2016-12-15,0,Matched control day,-2.352999999999998,0.0
HRF-0084,HRF-0084,2016-12-22,0,Matched control day,-1.972999999999999,0.0
HRF-0084,HRF-0084,2016-12-29,0,Matched control day,-1.472999999999999,0.0
HRF-0118,HRF-0118,2020-05-05,1,Event day,-5.312000000000005,0.0
HRF-0118,HRF-0118,2020-05-12,0,Matched control day,-6.102000000000004,0.0
HRF-0118,HRF-0118,2020-05-19,0,Matched control day,-1.392000000000003,0.0
HRF-0118,HRF-0118,2020-05-26,0,Matched control day,-2.402000000000001,0.0
HRF-0036,HRF-0036,2010-10-01,1,Event day,-1.2109999999999983,0.0
HRF-0036,HRF-0036,2010-10-08,0,Matched control day,-2.7910000000000004,0.0
HRF-0036,HRF-0036,2010-10-15,0,Matched control day,-5.221,0.0
HRF-0036,HRF-0036,2010-10-22,0,Matched control day,-3.661000000000002,0.0
HRF-0036,HRF-0036,2010-10-29,0,Matched control day,-6.541,0.0
HRF-0037,HRF-0037,2010-10-14,1,Event day,-7.331000000000001,0.0
HRF-0037,HRF-0037,2010-10-07,0,Matched control day,0.2689999999999983,0.0
HRF-0037,HRF-0037,2010-10-21,0,Matched control day,-11.611,0.0
HRF-0037,HRF-0037,2010-10-28,0,Matched control day,-7.661000000000001,0.0
HRF-0038,HRF-0038,2010-11-14,1,Event day,3.0379999999999985,0.0
HRF-0038,HRF-0038,2010-11-07,0,Matched control day,-3.892000000000001,0.0
HRF-0038,HRF-0038,2010-11-21,0,Matched control day,-8.862000000000002,0.0
HRF-0038,HRF-0038,2010-11-28,0,Matched control day,-12.282000000000002,0.0
HRF-0040,HRF-0040,2011-02-03,1,Event day,-7.67,0.0
HRF-0040,HRF-0040,2011-02-10,0,Matched control day,-13.39,0.0
HRF-0040,HRF-0040,2011-02-17,0,Matched control day,-5.59,0.0
HRF-0040,HRF-0040,2011-02-24,0,Matched control day,-5.23,0.0
HRF-0041,HRF-0041,2011-12-15,1,Event day,-7.311,0.0
HRF-0041,HRF-0041,2011-12-01,0,Matched control day,-7.561,0.0
HRF-0041,HRF-0041,2011-12-08,0,Matched control day,-8.460999999999999,0.0
HRF-0041,HRF-0041,2011-12-22,0,Matched control day,-7.440999999999999,0.0
HRF-0041,HRF-0041,2011-12-29,0,Matched control day,-5.850999999999999,0.0
