stratum_id,event_id,event_anomaly_c,control_mean_anomaly_c,event_minus_control_c,continent
HRF-0171,HRF-0171,-1.2809999999999988,-2.0476666666666623,0.7666666666666635,Africa
HRF-0172,HRF-0172,-2.9120000000000026,-0.8645000000000014,-2.047500000000001,South America
HRF-0173,HRF-0173,3.578999999999997,0.8623333333333308,2.7166666666666663,Europe
HRF-0174,HRF-0174,3.2379999999999995,-2.755333333333335,5.993333333333334,Asia
HRF-0175,HRF-0175,-2.271000000000001,-0.4385000000000012,-1.8324999999999996,Asia
HRF-0176,HRF-0176,-2.7010000000000005,-2.6310000000000016,-0.06999999999999895,Asia
HRF-0177,HRF-0177,-2.091000000000001,-0.34600000000000186,-1.7449999999999992,Africa
HRF-0178,HRF-0178,-1.6750000000000007,-5.117500000000003,3.4425000000000026,Europe
HRF-0179,HRF-0179,-3.0219999999999985,-2.118666666666665,-0.9033333333333333,North America
HRF-0180,HRF-0180,-1.991999999999999,-3.5986666666666665,1.6066666666666674,Europe
HRF-0181,HRF-0181,1.005999999999997,-0.6773333333333357,1.6833333333333327,Asia
HRF-0182,HRF-0182,-0.7200000000000024,-0.6766666666666682,-0.04333333333333422,North America
HRF-0183,HRF-0183,-6.231000000000002,-7.241000000000002,1.0100000000000007,Europe
HRF-0184,HRF-0184,-1.4420000000000002,-3.231999999999998,1.7899999999999978,South America
HRF-0185,HRF-0185,0.5960000000000001,-5.777333333333334,6.373333333333334,Europe
HRF-0186,HRF-0186,-5.09,-4.793333333333333,-0.29666666666666686,Asia
HRF-0187,HRF-0187,-8.630999999999998,-4.694333333333332,-3.9366666666666665,North America
HRF-0188,HRF-0188,-1.34,-1.4849999999999994,0.14499999999999935,Asia
HRF-0189,HRF-0189,-1.643000000000001,-0.9380000000000006,-0.7050000000000003,Asia
HRF-0190,HRF-0190,-0.0219999999999984,-1.3519999999999985,1.33,Asia
HRF-0191,HRF-0191,-4.153000000000001,-6.205500000000001,2.0524999999999993,North America
HRF-0192,HRF-0192,-0.9500000000000028,-1.4675000000000011,0.5174999999999983,Africa
HRF-0193,HRF-0193,-7.831,-16.411,8.580000000000002,North America
HRF-0194,HRF-0194,-3.362000000000001,-3.9670000000000005,0.6049999999999995,Europe
HRF-0195,HRF-0195,-1.5710000000000015,-4.1835,2.612499999999999,South America
HRF-0196,HRF-0196,-1.7420000000000009,-3.969499999999999,2.2274999999999983,Asia
HRF-0197,HRF-0197,-14.162,-7.177,-6.985000000000001,North America
HRF-0198,HRF-0198,-4.549,-2.3856666666666655,-2.163333333333335,Asia
HRF-0199,HRF-0199,-1.4529999999999994,-1.2530000000000012,-0.19999999999999818,Asia
HRF-0200,HRF-0200,-3.599000000000001,-4.939000000000001,1.3399999999999999,Asia
HRF-0201,HRF-0201,1.7270000000000003,-0.14966666666666603,1.8766666666666663,Asia
HRF-0202,HRF-0202,0.9609999999999976,-8.252333333333336,9.213333333333335,North America
